"","date","state","fips","cases","deaths","population","cases_per100k","deaths_per100k"
"1",2020-03-13,"Alabama","01",6,0,4864680,0.1233380201781,0
"2",2020-03-14,"Alabama","01",12,0,4864680,0.2466760403562,0
"3",2020-03-15,"Alabama","01",23,0,4864680,0.47279574401605,0
"4",2020-03-16,"Alabama","01",29,0,4864680,0.59613376419415,0
"5",2020-03-17,"Alabama","01",39,0,4864680,0.801697131157651,0
"6",2020-03-18,"Alabama","01",51,0,4864680,1.04837317151385,0
"7",2020-03-19,"Alabama","01",78,0,4864680,1.6033942623153,0
"8",2020-03-20,"Alabama","01",106,0,4864680,2.1789716898131,0
"9",2020-03-21,"Alabama","01",131,0,4864680,2.69288010722185,0
"10",2020-03-22,"Alabama","01",157,0,4864680,3.22734486132695,0
"11",2020-03-23,"Alabama","01",196,0,4864680,4.0290419924846,0
"12",2020-03-24,"Alabama","01",242,0,4864680,4.9746334805167,0
"13",2020-03-25,"Alabama","01",386,1,4864680,7.93474596479111,0.02055633669635
"14",2020-03-26,"Alabama","01",538,3,4864680,11.0593091426363,0.06166901008905
"15",2020-03-27,"Alabama","01",639,4,4864680,13.1354991489677,0.0822253467854001
"16",2020-03-28,"Alabama","01",720,4,4864680,14.800562421372,0.0822253467854001
"17",2020-03-29,"Alabama","01",830,5,4864680,17.0617594579705,0.10278168348175
"18",2020-03-30,"Alabama","01",947,11,4864680,19.4668508514435,0.22611970365985
"19",2020-03-31,"Alabama","01",999,14,4864680,20.5357803596537,0.2877887137489
"20",2020-04-01,"Alabama","01",1108,28,4864680,22.7764210595558,0.5755774274978
"21",2020-04-02,"Alabama","01",1270,32,4864680,26.1065476043645,0.657802774283201
"22",2020-04-03,"Alabama","01",1535,38,4864680,31.5539768288973,0.781140794461301
"23",2020-04-04,"Alabama","01",1632,44,4864680,33.5479414884432,0.904478814639401
"24",2020-04-05,"Alabama","01",1840,45,4864680,37.823659521284,0.925035151335751
"25",2020-04-06,"Alabama","01",2005,53,4864680,41.2154550761818,1.08948584490655
"26",2020-04-07,"Alabama","01",2197,64,4864680,45.162271721881,1.3156055485664
"27",2020-04-08,"Alabama","01",2498,67,4864680,51.3497290674823,1.37727455865545
"28",2020-04-09,"Alabama","01",2838,78,4864680,58.3388835442413,1.6033942623153
"29",2020-04-10,"Alabama","01",3008,80,4864680,61.8334607826209,1.644506935708
